[BrainGB]
avg_mse=12.9159 +-  0.5536, avg_mae=2.8247 +-  0.0410, avg_corr=0.2862 +-  0.0227
avg_mse=13.3014 +-  0.5079, avg_mae=2.8649 +-  0.0461, avg_corr=0.2482 +-  0.0184
avg_mse=13.2378 +-  0.5484, avg_mae=2.8642 +-  0.0473, avg_corr=0.2628 +-  0.0142
avg_mse=13.0879 +-  0.5196, avg_mae=2.8496 +-  0.0381, avg_corr=0.2758 +-  0.0193
avg_mse=13.0577 +-  0.5777, avg_mae=2.8490 +-  0.0586, avg_corr=0.2744 +-  0.0244
avg_mse=13.2450 +-  0.4767, avg_mae=2.8711 +-  0.0537, avg_corr=0.2749 +-  0.0146
avg_mse=13.1975 +-  0.5598, avg_mae=2.8602 +-  0.0474, avg_corr=0.2728 +-  0.0112
avg_mse=13.2405 +-  0.4942, avg_mae=2.8666 +-  0.0418, avg_corr=0.2776 +-  0.0180
avg_mse=13.1293 +-  0.4578, avg_mae=2.8592 +-  0.0412, avg_corr=0.2810 +-  0.0200
avg_mse=13.0600 +-  0.4985, avg_mae=2.8525 +-  0.0415, avg_corr=0.2882 +-  0.0198


[BrainGNN]
avg_mse=12.6944 +-  0.5708, avg_mae=2.7921 +-  0.0495, avg_corr=0.2790 +-  0.0206
avg_mse=12.8143 +-  0.5515, avg_mae=2.8089 +-  0.0391, avg_corr=0.2633 +-  0.0295
avg_mse=12.7631 +-  0.5302, avg_mae=2.8015 +-  0.0424, avg_corr=0.2747 +-  0.0245
avg_mse=12.6969 +-  0.6122, avg_mae=2.7918 +-  0.0537, avg_corr=0.2824 +-  0.0244
avg_mse=12.8279 +-  0.5828, avg_mae=2.8096 +-  0.0465, avg_corr=0.2652 +-  0.0351
avg_mse=12.8818 +-  0.4837, avg_mae=2.8027 +-  0.0375, avg_corr=0.2634 +-  0.0396
avg_mse=12.7912 +-  0.5740, avg_mae=2.7977 +-  0.0451, avg_corr=0.2736 +-  0.0319
avg_mse=12.9801 +-  0.5375, avg_mae=2.8068 +-  0.0421, avg_corr=0.2608 +-  0.0325
avg_mse=13.3725 +-  1.1652, avg_mae=2.8193 +-  0.0352, avg_corr=0.2410 +-  0.0459
avg_mse=12.8022 +-  0.4680, avg_mae=2.7984 +-  0.0362, avg_corr=0.2657 +-  0.0377


[GCN]
avg_mse=12.7376 +-  0.6072, avg_mae=2.8189 +-  0.0474, avg_corr=0.3076 +-  0.0284
avg_mse=13.0197 +-  0.5742, avg_mae=2.8442 +-  0.0413, avg_corr=0.2807 +-  0.0253
avg_mse=13.0578 +-  0.5607, avg_mae=2.8445 +-  0.0435, avg_corr=0.2712 +-  0.0269
avg_mse=13.1442 +-  0.5489, avg_mae=2.8542 +-  0.0399, avg_corr=0.2622 +-  0.0261
avg_mse=13.2030 +-  0.5409, avg_mae=2.8652 +-  0.0422, avg_corr=0.2576 +-  0.0239
avg_mse=13.2118 +-  0.5357, avg_mae=2.8695 +-  0.0453, avg_corr=0.2551 +-  0.0230
avg_mse=13.2694 +-  0.5932, avg_mae=2.8743 +-  0.0456, avg_corr=0.2499 +-  0.0233
avg_mse=13.2379 +-  0.5427, avg_mae=2.8714 +-  0.0423, avg_corr=0.2417 +-  0.0244
avg_mse=13.2558 +-  0.5381, avg_mae=2.8715 +-  0.0417, avg_corr=0.2404 +-  0.0280
avg_mse=13.2845 +-  0.5091, avg_mae=2.8747 +-  0.0359, avg_corr=0.2364 +-  0.0237

[GAT]
avg_mse=12.5974 +-  0.5610, avg_mae=2.7937 +-  0.0470, avg_corr=0.3193 +-  0.0326
avg_mse=13.1990 +-  0.4552, avg_mae=2.8679 +-  0.0558, avg_corr=0.2821 +-  0.0346
avg_mse=13.3035 +-  0.5543, avg_mae=2.8704 +-  0.0579, avg_corr=0.2735 +-  0.0313
