[GCN]
mse=13.405804925982288, mae=2.863613200821516, corr=0.2999704614139898
mse=12.409695962699157, mae=2.804886994105094, corr=0.2863935718645222
mse=12.520934252163627, mae=2.8031052073899305, corr=0.30833317785113207
mse=12.983765749681053, mae=2.8732142991246055, corr=0.2719881357275822
mse=13.097520110553516, mae=2.8310735412576853, corr=0.22976224798801534
mse=12.852312507967438, mae=2.8138881851071473, corr=0.25538788136330604
mse=13.330652179080934, mae=2.875287934883809, corr=0.30121481564448027
mse=13.926113403647955, mae=2.914571225765049, corr=0.26740409391737624
mse=13.702552450540201, mae=2.882702289183447, corr=0.2707065893816598
mse=11.967339314159766, mae=2.7799721706783034, corr=0.3157466778650264

[GAT]
mse=13.615755641549805, mae=2.886944040767823, corr=0.28673815454054474
mse=13.3023942474126, mae=2.9306646982828775, corr=0.22076035229121846
mse=12.534238038456351, mae=2.7811012742628267, corr=0.3039102004122502
mse=13.446984694779285, mae=2.918790402506677, corr=0.2661033068566177
mse=13.224921048378246, mae=2.8351568736913015, corr=0.2459597082766363
mse=12.976507149834818, mae=2.8256850089844834, corr=0.25962009169327027
mse=12.703492362237577, mae=2.786353095014971, corr=0.32655790999244766
mse=13.685975248665734, mae=2.9418777402112006, corr=0.33654302122735874
mse=13.900347302052628, mae=2.9097461700439453, corr=0.26994710110305664
mse=12.599741214135918, mae=2.862256284790455, corr=0.3051203442051128

[GIN]
mse=15.407827602248657, mae=3.1111913354687735, corr=0.22074923694301718
mse=16.730132558675713, mae=3.1370834702931867, corr=0.09409756578819244
mse=15.857441301482343, mae=3.1087099951631614, corr=0.1912913677685011
mse=15.482151305829902, mae=3.1069654628543035, corr=0.19390113754913688
mse=15.780418356991008, mae=3.120218005242117, corr=0.13418924086496545
mse=16.333699139918124, mae=3.122288993856252, corr=0.15500679416389987
mse=16.27858714758334, mae=3.0916320278113116, corr=0.1906366419881506
mse=17.16605708870501, mae=3.2692666798119, corr=0.17981675996820876
mse=16.564470722793963, mae=3.217674297626602, corr=0.16797572941383232
mse=13.918145361772263, mae=2.9596487733077743, corr=0.2215295419023684

[GraphSage]
mse=13.031669107032782, mae=2.818108983160122, corr=0.33126789414502666
mse=11.976208216817344, mae=2.7484630690030527, corr=0.2998162313890323
mse=11.985196411975322, mae=2.719251964233648, corr=0.31428205004162985
mse=12.169730653873332, mae=2.7506583687717927, corr=0.31064369183566687
mse=12.538776780930034, mae=2.7719490464723426, corr=0.27236154246148936
mse=12.60861482113173, mae=2.8000824797616657, corr=0.23439014940758143
mse=12.699931221424356, mae=2.7877724380337146, corr=0.33224112293199054
mse=13.703539884732383, mae=2.902400366530259, corr=0.3138853695238929
mse=12.858045054034628, mae=2.7836164326267983, corr=0.33359779990557925
mse=11.632230318559621, mae=2.7086698457994833, corr=0.33619332067803875


[BrainGB]
mse=13.990229408352572, mae=2.9243220073801366, corr=0.2869283091169938
mse=12.86348110685238, mae=2.9003441276888338, corr=0.3111504870636661
mse=12.38659198705079, mae=2.7842644526995843, corr=0.29188176901572016
mse=12.624606286577409, mae=2.8188365033961675, corr=0.2577335601163059
mse=13.094656712519692, mae=2.836042657707854, corr=0.25808721908273285
mse=12.965525832563008, mae=2.8268879270911134, corr=0.26730790461099857
mse=13.02909918813049, mae=2.837972958232565, corr=0.3107415008448855
mse=13.796807554358109, mae=2.8995983251195905, corr=0.30500546804026424
mse=13.34145645812489, mae=2.865364386747707, corr=0.3057893387875987
mse=12.507902557539468, mae=2.831615611819402, corr=0.28782474574550065


[BrainGNN]
mse=13.51145857763518, mae=2.872309103577659, corr=0.28652796685581544
mse=12.356344098856276, mae=2.8002483904889917, corr=0.26985106587631835
mse=12.294428905988926, mae=2.753305883739136, corr=0.2727516839776088
mse=12.16029466734342, mae=2.751188389362733, corr=0.29241023302773234
mse=12.985229157393858, mae=2.8141778895216243, corr=0.23647440657115723
mse=12.641620678241836, mae=2.7768752163742056, corr=0.2377453315939954
mse=12.742945564467645, mae=2.7819262135979588, corr=0.3195949587305395
mse=13.381633140639375, mae=2.844588751685644, corr=0.2933430068692733
mse=13.504897569098599, mae=2.8599861017602923, corr=0.25778600623743314
mse=12.052095652439192, mae=2.75999918614591, corr=0.2807780135604639


[NeuroGraph]
mse=13.200542088504056, mae=2.8182648208243717, corr=0.3284997278874293
mse=11.996939708525092, mae=2.760897490144507, corr=0.32870623608021227
mse=12.133881784086741, mae=2.7767439161585394, corr=0.3084650988313196
mse=12.358466277093244, mae=2.7601974418395705, corr=0.30295366613483377
mse=13.032383591769582, mae=2.832773248923418, corr=0.2674547674396671
mse=12.802929969896812, mae=2.8386528435091463, corr=0.28479074654941866
mse=13.150452202326925, mae=2.822867185466535, corr=0.3127788081513486
mse=13.149849963822003, mae=2.8359125978538757, corr=0.33910363276000827
mse=13.387769310020962, mae=2.844976009116664, corr=0.2978001373140933
mse=12.190404943974553, mae=2.7589615741877958, corr=0.3322277796950007


[BrainNetTF]
mse=13.531322222464574, mae=2.923236674001287, corr=0.35581700321584614
mse=11.928077835571871, mae=2.7639706214431525, corr=0.3389337137664835
mse=11.701375136996258, mae=2.701192954647842, corr=0.35327864650068497
mse=12.101498272927667, mae=2.7458623081303486, corr=0.33698668548042154
mse=12.105904605816072, mae=2.7321017674223125, corr=0.32882204053062525
mse=12.560219223513926, mae=2.779115344036495, corr=0.30687442431353906
mse=12.425215226415883, mae=2.750880591139634, corr=0.3689198581714562
mse=13.117275585507404, mae=2.81091932090026, corr=0.36982297345659293
mse=12.704065030987927, mae=2.7887497487812523, corr=0.33908874937489253
mse=11.452928143938788, mae=2.6697433324760538, corr=0.36247009088195836


[BrainNetCNN]
mse=22.96712666298958, mae=3.766755601379769, corr=0.1630861354470983
mse=20.454134542599128, mae=3.609860945495522, corr=0.21400787978736727
mse=22.107250372243723, mae=3.7664382950172346, corr=0.1681755892717981
mse=19.965261238321773, mae=3.5432962568422197, corr=0.15488662945984744
mse=22.602556024511085, mae=3.7920296372567703, corr=0.13538663747988067
mse=21.031249789372545, mae=3.604014733736419, corr=0.18533652735842118
mse=21.79622822158907, mae=3.6988495990542547, corr=0.16460917343409254
mse=20.91909451344912, mae=3.6149665147330214, corr=0.17755973740255157
mse=22.331848853123617, mae=3.730330324205478, corr=0.1080391978939832
mse=20.81136146498604, mae=3.638333904393774, corr=0.1683465612516542


[MLP-Flatten]
mse=13.392279780309218, mae=2.8838651341163306, corr=0.32498489337397773
mse=12.301559283120664, mae=2.7932105893250134, corr=0.3050079997930761
mse=12.418653438102655, mae=2.784124763302845, corr=0.32000545999606844
mse=12.43879238081856, mae=2.8039871585068448, corr=0.3025594797302636
mse=12.882325570926263, mae=2.8258049957753855, corr=0.30945644797510347
mse=12.961604029285558, mae=2.8144779059053198, corr=0.26326066877077625
mse=12.674812649412877, mae=2.8022450848184803, corr=0.35039477207919567
mse=13.23222480538595, mae=2.865510726023793, corr=0.3563685338524
mse=13.11724107998443, mae=2.805495471473283, corr=0.3359696253964196
mse=12.044538211887518, mae=2.7670906206012664, corr=0.3497800434830875


[MLP-Node]
mse=12.95699813533333, mae=2.825067275059654, corr=0.34571042992787904
mse=11.906530393900804, mae=2.7467063346035885, corr=0.3309744116809181
mse=11.817662213721402, mae=2.7285154130723743, corr=0.3304226881760269
mse=11.899981422008262, mae=2.737948255142389, corr=0.3340564497653279
mse=12.542183015975484, mae=2.7748178730388036, corr=0.2944470876983675
mse=12.121822198557057, mae=2.7368912511564227, corr=0.303015886103402
mse=12.416048974997345, mae=2.756001748109075, corr=0.36481029857542635
mse=13.014461656452118, mae=2.802470427593083, corr=0.35174473620315766
mse=12.807190723133152, mae=2.790932501264389, corr=0.33743166721353846
mse=11.517604479272917, mae=2.686462170913582, corr=0.36169451921228163


[CPM-POS]
mse=13.454539725869825, mae=2.8618976921960457, corr=0.2851055790437818
mse=12.604854637442793, mae=2.806709584039169, corr=0.2012634620626521
mse=12.522800921069951, mae=2.8119380244935703, corr=0.23448024174453636
mse=12.850522632890932, mae=2.830665896519074, corr=0.19941324326508778
mse=12.767077065616816, mae=2.7960064861347016, corr=0.22406056322996976
mse=12.64204582985349, mae=2.8048424340464586, corr=0.2212135919548374
mse=13.097077176014844, mae=2.8173064554964675, corr=0.26875226953966597
mse=13.454539725869825, mae=2.8618976921960457, corr=0.2851055790437818
mse=13.543493905440162, mae=2.8722358266756336, corr=0.2371883951983071
mse=12.330753682296628, mae=2.798120643626124, corr=0.23777694191442608


[CPM-NEG]
mse=13.49198149133202, mae=2.8524202185580743, corr=0.28029235746598496
mse=12.529249913424627, mae=2.803129161712501, corr=0.21029174534795866
mse=12.589587046209125, mae=2.816597818922005, corr=0.2246958603892491
mse=12.889580392213594, mae=2.8361794732424706, corr=0.18924045311573792
mse=12.743196204825146, mae=2.787877682202839, corr=0.2254402533823872
mse=12.72169805164572, mae=2.8142658011313597, corr=0.20822405180966827
mse=13.30333752775904, mae=2.8365380567356935, corr=0.239637528597678
mse=13.49198149133202, mae=2.8524202185580743, corr=0.28029235746598496
mse=13.704859601830583, mae=2.894332198602615, corr=0.2141686868242806
mse=12.47927470976577, mae=2.818306438599465, corr=0.21401012502815872



[CMEP]
mse=14.934085746058704, mae=3.0330239792265634, corr=0.15224634424031325
mse=12.887679305337432, mae=2.8603921990003753, corr=0.21346008618733123
mse=13.337445046904477, mae=2.8947456870190917, corr=0.18223018893361473
mse=13.530055499172942, mae=2.904259859528098, corr=0.17177854568424353
mse=13.872804851819057, mae=2.9107234988062105, corr=0.15050406892107634
mse=13.483945245981117, mae=2.9064359778320528, corr=0.1705203606701017
mse=13.957831232065029, mae=2.9250807287434593, corr=0.20564404591770002
mse=14.934085746058704, mae=3.0330239792265634, corr=0.15224634424031325
mse=14.404010041467282, mae=2.9934834545985907, corr=0.18560462628017368
mse=13.317697556073197, mae=2.9001073563925632, corr=0.17488517821743219



[LinearReg]
mse=13.461508738913022, mae=2.8580401653973686, corr=0.2872140052032005
mse=12.28869957041819, mae=2.7883649311182688, corr=0.25664455046468476
mse=12.541631818527334, mae=2.814410337722456, corr=0.24865669089339687
mse=12.653868352247725, mae=2.820879297835045, corr=0.237144710868948
mse=12.87343082862247, mae=2.8125633189039485, corr=0.23357222560942956
mse=12.65685234961452, mae=2.7975016855917256, corr=0.23862079633512484
mse=12.893117467463425, mae=2.807082232115784, corr=0.2953544114866523
mse=13.461508738913022, mae=2.8580401653973686, corr=0.2872140052032005
mse=13.789420864545122, mae=2.9026312415260156, corr=0.21995863721790415
mse=12.230336854494032, mae=2.7811984443794566, corr=0.2623276385355786


[ElasticNet]
mse=12.934316032313857, mae=2.796977780347953, corr=0.3598900104815403
mse=11.640127167580458, mae=2.6975564423595553, corr=0.33422339968104653
mse=11.737332925103377, mae=2.712339646327065, corr=0.34178226543194
mse=11.856973534859772, mae=2.716922074170363, corr=0.33397164298996224
mse=12.201297386055124, mae=2.729325737852423, corr=0.29876515310727303
mse=11.919423301174133, mae=2.710654044850147, corr=0.3187600051996352
mse=12.370997687688448, mae=2.7329715131981973, corr=0.37211703087896614
mse=12.934316032313857, mae=2.796977780347953, corr=0.3598900104815403
mse=12.752337677915042, mae=2.7968097925998765, corr=0.34784171525431884
mse=11.453577045578369, mae=2.6926605449538696, corr=0.36236129950209933



[SVR]
mse=12.805630505197405, mae=2.779814288726762, corr=0.36344384505196076
mse=11.60593432886374, mae=2.6916543558563766, corr=0.3338846660055976
mse=11.66262061383196, mae=2.6913736075905703, corr=0.34688064752309006
mse=11.790403109259621, mae=2.71615924828551, corr=0.3404380268048493
mse=12.016064986880961, mae=2.6998248575687, corr=0.31855591361487456
mse=11.858529072057161, mae=2.700841377093936, corr=0.32838314669200336
mse=12.340217227561205, mae=2.728100229700081, corr=0.3667823312971269
mse=12.805630505197405, mae=2.779814288726762, corr=0.36344384505196076
mse=12.68325115748332, mae=2.7736478281399752, corr=0.3509565139639101
mse=11.419012570706894, mae=2.680981382570565, corr=0.3651734975846727


[RandomForest]
mse=13.325901670074984, mae=2.8406884798909333, corr=0.3099455760799602
mse=12.26646218473074, mae=2.7751431492842538, corr=0.24726951134132188
mse=12.336801107702794, mae=2.7832140422631215, corr=0.2607479334654275
mse=12.429234372869804, mae=2.7809032038173145, corr=0.2541314565255167
mse=12.533179720518065, mae=2.773571915473756, corr=0.25616490692620547
mse=12.37227673824131, mae=2.775238582140423, corr=0.2573090751588895
mse=12.879786741649623, mae=2.790068166325835, corr=0.3041927446279208
mse=13.325901670074984, mae=2.8406884798909333, corr=0.3099455760799602
mse=13.453576005453307, mae=2.865023858214042, corr=0.24961095571171935
mse=12.017236315610088, mae=2.7632004089979554, corr=0.28398822895841047



[KernelRidgeReg]
mse=12.835842557135791, mae=2.8085240249530123, corr=0.35769707363597936
mse=11.551451294920536, mae=2.701350853808783, corr=0.35622888778528833
mse=11.679951550370575, mae=2.715157191443993, corr=0.3566278856841018
mse=12.088572430816606, mae=2.735544453209015, corr=0.32629291688460255
mse=12.26754417811445, mae=2.7427710847463267, corr=0.31918405363582203
mse=12.324036779168612, mae=2.7610703015103355, corr=0.30549201762828265
mse=12.387075397080855, mae=2.763513487533119, corr=0.3553067423336495
mse=12.835842557135791, mae=2.8085240249530123, corr=0.35769707363597936
mse=12.727228766447784, mae=2.782681441925915, corr=0.34353180744139195
mse=11.413665966031147, mae=2.669345838903428, corr=0.36479195030044786

