[BrainGB]
avg_auc=0.7053 +-  0.0481, avg_acc=0.6493 +-  0.0552, avg_sens=0.6590 +-  0.1476, avg_specs=0.6412 +-  0.1041
avg_auc=0.6687 +-  0.0246, avg_acc=0.6187 +-  0.0405, avg_sens=0.5851 +-  0.1911, avg_specs=0.6416 +-  0.1908
avg_auc=0.6712 +-  0.0432, avg_acc=0.6222 +-  0.0333, avg_sens=0.6504 +-  0.1012, avg_specs=0.5935 +-  0.0987
avg_auc=0.6618 +-  0.0412, avg_acc=0.5995 +-  0.0464, avg_sens=0.6092 +-  0.1767, avg_specs=0.5931 +-  0.1500
avg_auc=0.6767 +-  0.0583, avg_acc=0.6099 +-  0.0391, avg_sens=0.5990 +-  0.1510, avg_specs=0.6243 +-  0.1423
avg_auc=0.6710 +-  0.0451, avg_acc=0.6153 +-  0.0332, avg_sens=0.5963 +-  0.0624, avg_specs=0.6365 +-  0.0940
avg_auc=0.6744 +-  0.0362, avg_acc=0.6158 +-  0.0413, avg_sens=0.5924 +-  0.1815, avg_specs=0.6348 +-  0.1706
avg_auc=0.6925 +-  0.0390, avg_acc=0.6256 +-  0.0419, avg_sens=0.5926 +-  0.2058, avg_specs=0.6634 +-  0.1849
avg_auc=0.6934 +-  0.0390, avg_acc=0.6305 +-  0.0294, avg_sens=0.7056 +-  0.1326, avg_specs=0.5429 +-  0.1648
avg_auc=0.6820 +-  0.0424, avg_acc=0.6325 +-  0.0348, avg_sens=0.6471 +-  0.0835, avg_specs=0.6174 +-  0.0972


[BrainGNN]
avg_auc=0.6505 +-  0.0454, avg_acc=0.5961 +-  0.0406, avg_sens=0.6442 +-  0.2137, avg_specs=0.5560 +-  0.2113
avg_auc=0.5997 +-  0.0683, avg_acc=0.5670 +-  0.0433, avg_sens=0.5771 +-  0.2154, avg_specs=0.5483 +-  0.2419
avg_auc=0.6272 +-  0.0505, avg_acc=0.5744 +-  0.0576, avg_sens=0.5206 +-  0.3020, avg_specs=0.6305 +-  0.2659
avg_auc=0.6325 +-  0.0649, avg_acc=0.5512 +-  0.0360, avg_sens=0.5647 +-  0.2653, avg_specs=0.5485 +-  0.3148
avg_auc=0.6355 +-  0.0499, avg_acc=0.5754 +-  0.0439, avg_sens=0.5866 +-  0.2340, avg_specs=0.5521 +-  0.2159
avg_auc=0.5990 +-  0.0555, avg_acc=0.5453 +-  0.0450, avg_sens=0.6484 +-  0.2711, avg_specs=0.4522 +-  0.2869
avg_auc=0.6123 +-  0.0538, avg_acc=0.5458 +-  0.0470, avg_sens=0.5406 +-  0.3199, avg_specs=0.5663 +-  0.3209
avg_auc=0.5842 +-  0.0533, avg_acc=0.5399 +-  0.0478, avg_sens=0.5565 +-  0.3225, avg_specs=0.5162 +-  0.2778
avg_auc=0.5636 +-  0.0613, avg_acc=0.5266 +-  0.0410, avg_sens=0.5792 +-  0.3778, avg_specs=0.4742 +-  0.3973
avg_auc=0.5908 +-  0.0535, avg_acc=0.5207 +-  0.0387, avg_sens=0.5075 +-  0.3838, avg_specs=0.5492 +-  0.3763



[GCN]
