[GCN]
auc=0.6696428571428571, acc=0.6059113300492611, sens=0.7767857142857143, spec=0.3956043956043956
auc=0.7128654970760234, acc=0.6502463054187192, sens=0.6666666666666666, spec=0.631578947368421
auc=0.7174674187901188, acc=0.625615763546798, sens=0.5660377358490566, spec=0.6907216494845361
auc=0.7167675190318172, acc=0.6650246305418719, sens=0.7127659574468085, spec=0.6238532110091743
auc=0.7465034965034966, acc=0.6699507389162561, sens=0.6464646464646465, spec=0.6923076923076923
auc=0.7394133644133645, acc=0.6206896551724138, sens=0.7692307692307693, spec=0.46464646464646464
auc=0.6705893794981521, acc=0.6206896551724138, sens=0.660377358490566, spec=0.5773195876288659
auc=0.7361111111111112, acc=0.6502463054187192, sens=0.8173076923076923, spec=0.47474747474747475
auc=0.6615190365190364, acc=0.5960591133004927, sens=0.375, spec=0.8282828282828283
auc=0.7763833992094861, acc=0.6995073891625616, sens=0.6608695652173913, spec=0.75


[GAT]
auc=0.673861852433281, acc=0.5960591133004927, sens=0.5803571428571429, spec=0.6153846153846154
auc=0.638888888888889, acc=0.6157635467980296, sens=0.6296296296296297, spec=0.6
auc=0.7536471503598522, acc=0.6945812807881774, sens=0.660377358490566, spec=0.7319587628865979
auc=0.7084715986726527, acc=0.6502463054187192, sens=0.648936170212766, spec=0.6513761467889908
auc=0.7468919968919969, acc=0.6650246305418719, sens=0.5858585858585859, spec=0.7403846153846154
auc=0.7535936285936286, acc=0.6699507389162561, sens=0.6538461538461539, spec=0.6868686868686869
auc=0.6783699669325034, acc=0.6059113300492611, sens=0.8207547169811321, spec=0.3711340206185567
auc=0.7081390831390831, acc=0.6403940886699507, sens=0.7115384615384616, spec=0.5656565656565656
auc=0.6642385392385393, acc=0.6305418719211823, sens=0.6346153846153846, spec=0.6262626262626263
auc=0.8020750988142293, acc=0.7044334975369458, sens=0.5826086956521739, spec=0.8636363636363636


[GIN]
auc=0.5659340659340659, acc=0.5467980295566502, sens=0.7053571428571429, spec=0.3516483516483517
auc=0.5721247563352827, acc=0.5467980295566502, sens=0.5925925925925926, spec=0.49473684210526314
auc=0.6840108928224081, acc=0.6551724137931034, sens=0.5660377358490566, spec=0.7525773195876289
auc=0.6601600624634003, acc=0.6354679802955665, sens=0.6276595744680851, spec=0.6422018348623854
auc=0.6606449106449106, acc=0.625615763546798, sens=0.41414141414141414, spec=0.8269230769230769
auc=0.6946386946386945, acc=0.6108374384236454, sens=0.6153846153846154, spec=0.6060606060606061
auc=0.642968294106205, acc=0.5763546798029556, sens=0.5094339622641509, spec=0.6494845360824743
auc=0.6571484071484072, acc=0.6108374384236454, sens=0.7211538461538461, spec=0.494949494949495
auc=0.6058663558663558, acc=0.5467980295566502, sens=0.7980769230769231, spec=0.2828282828282828
auc=0.7023715415019762, acc=0.6206896551724138, sens=0.591304347826087, spec=0.6590909090909091


[GraphSage]
auc=0.6433477237048666, acc=0.5960591133004927, sens=0.5535714285714286, spec=0.6483516483516484
auc=0.687524366471735, acc=0.625615763546798, sens=0.6018518518518519, spec=0.6526315789473685
auc=0.7113402061855669, acc=0.6551724137931034, sens=0.5, spec=0.8247422680412371
auc=0.6893421823150498, acc=0.6551724137931034, sens=0.7127659574468085, spec=0.6055045871559633
auc=0.7474747474747475, acc=0.6995073891625616, sens=0.6464646464646465, spec=0.75
auc=0.746017871017871, acc=0.6748768472906403, sens=0.6730769230769231, spec=0.6767676767676768
auc=0.6938338844582767, acc=0.6305418719211823, sens=0.7452830188679245, spec=0.5051546391752577
auc=0.7355283605283606, acc=0.6600985221674877, sens=0.7403846153846154, spec=0.5757575757575758
auc=0.691045066045066, acc=0.6600985221674877, sens=0.5961538461538461, spec=0.7272727272727273
auc=0.7971343873517787, acc=0.7339901477832512, sens=0.8434782608695652, spec=0.5909090909090909

[BrainGB]
auc=0.6370682888540031, acc=0.6157635467980296, sens=0.6607142857142857, spec=0.5604395604395604
auc=0.6727095516569201, acc=0.6600985221674877, sens=0.7314814814814815, spec=0.5789473684210527
auc=0.629546780781949, acc=0.5665024630541872, sens=0.5, spec=0.6391752577319587
auc=0.7158891274643763, acc=0.6354679802955665, sens=0.6702127659574468, spec=0.6055045871559633
auc=0.6794871794871795, acc=0.6354679802955665, sens=0.6464646464646465, spec=0.625
auc=0.6761849261849262, acc=0.6206896551724138, sens=0.6634615384615384, spec=0.5757575757575758
auc=0.6874148998249369, acc=0.6600985221674877, sens=0.6415094339622641, spec=0.6804123711340206
auc=0.683954933954934, acc=0.6354679802955665, sens=0.5, spec=0.7777777777777778
auc=0.651029526029526, acc=0.5960591133004927, sens=0.7788461538461539, spec=0.40404040404040403
auc=0.7866600790513835, acc=0.6995073891625616, sens=0.6782608695652174, spec=0.7272727272727273


[BrainGNN]
auc=0.5991954474097332, acc=0.458128078817734, sens=0.044642857142857144, spec=0.967032967032967
auc=0.5374756335282651, acc=0.5320197044334976, sens=0.37962962962962965, spec=0.7052631578947368
auc=0.6668936004668353, acc=0.625615763546798, sens=0.7641509433962265, spec=0.4742268041237113
auc=0.6486433730236191, acc=0.6108374384236454, sens=0.5638297872340425, spec=0.6513761467889908
auc=0.6174242424242424, acc=0.5812807881773399, sens=0.7070707070707071, spec=0.46153846153846156
auc=0.7091103341103341, acc=0.6748768472906403, sens=0.9038461538461539, spec=0.43434343434343436
auc=0.6614471892627894, acc=0.5665024630541872, sens=0.20754716981132076, spec=0.9587628865979382
auc=0.6487956487956488, acc=0.5911330049261084, sens=0.4326923076923077, spec=0.7575757575757576
auc=0.549048174048174, acc=0.5172413793103449, sens=0.21153846153846154, spec=0.8383838383838383
auc=0.6342885375494072, acc=0.5862068965517241, sens=0.991304347826087, spec=0.056818181818181816


[NeuroGraph]
auc=0.6627747252747253, acc=0.5960591133004927, sens=0.8125, spec=0.32967032967032966
auc=0.7153021442495127, acc=0.6502463054187192, sens=0.9074074074074074, spec=0.35789473684210527
auc=0.7770861700058356, acc=0.6502463054187192, sens=0.839622641509434, spec=0.44329896907216493
auc=0.7432168651180948, acc=0.6551724137931034, sens=0.723404255319149, spec=0.5963302752293578
auc=0.7671911421911422, acc=0.6699507389162561, sens=0.7777777777777778, spec=0.5673076923076923
auc=0.7855477855477856, acc=0.6798029556650246, sens=0.49038461538461536, spec=0.8787878787878788
auc=0.7057965376385918, acc=0.6798029556650246, sens=0.7830188679245284, spec=0.5670103092783505
auc=0.7172688422688422, acc=0.6502463054187192, sens=0.7788461538461539, spec=0.5151515151515151
auc=0.7069735819735821, acc=0.6502463054187192, sens=0.6634615384615384, spec=0.6363636363636364
auc=0.783596837944664, acc=0.7389162561576355, sens=0.8347826086956521, spec=0.6136363636363636


[BrainNetTF]
auc=0.6966248037676608, acc=0.6650246305418719, sens=0.5982142857142857, spec=0.7472527472527473
auc=0.7144249512670566, acc=0.6600985221674877, sens=0.6018518518518519, spec=0.7263157894736842
auc=0.7531608636452052, acc=0.6798029556650246, sens=0.7169811320754716, spec=0.6391752577319587
auc=0.7391177044700371, acc=0.6650246305418719, sens=0.7978723404255319, spec=0.5504587155963303
auc=0.7472804972804973, acc=0.6798029556650246, sens=0.6767676767676768, spec=0.6826923076923077
auc=0.763014763014763, acc=0.625615763546798, sens=0.9519230769230769, spec=0.2828282828282828
auc=0.6662127990663295, acc=0.6108374384236454, sens=0.6698113207547169, spec=0.5463917525773195
auc=0.7532051282051282, acc=0.7093596059113301, sens=0.7403846153846154, spec=0.6767676767676768
auc=0.7336829836829837, acc=0.6600985221674877, sens=0.6923076923076923, spec=0.6262626262626263
auc=0.7846837944664031, acc=0.7142857142857143, sens=0.9130434782608695, spec=0.45454545454545453



[BrainNetCNN]
auc=0.7156593406593406, acc=0.6650246305418719, sens=0.6339285714285714, spec=0.7032967032967034
auc=0.7048732943469787, acc=0.5960591133004927, sens=0.4166666666666667, spec=0.8
auc=0.7509239447578292, acc=0.6896551724137931, sens=0.7169811320754716, spec=0.6597938144329897
auc=0.7444856529377317, acc=0.6896551724137931, sens=0.43617021276595747, spec=0.908256880733945
auc=0.7621406371406372, acc=0.7044334975369458, sens=0.7878787878787878, spec=0.625
auc=0.7541278166278166, acc=0.6896551724137931, sens=0.6634615384615384, spec=0.7171717171717171
auc=0.6794397977047268, acc=0.625615763546798, sens=0.6886792452830188, spec=0.5567010309278351
auc=0.7132867132867132, acc=0.6600985221674877, sens=0.6826923076923077, spec=0.6363636363636364
auc=0.6834693084693084, acc=0.6157635467980296, sens=0.4807692307692308, spec=0.7575757575757576
auc=0.7288537549407115, acc=0.6748768472906403, sens=0.6869565217391305, spec=0.6590909090909091



[MLP-Flatten]
auc=0.6982927786499215, acc=0.645320197044335, sens=0.9285714285714286, spec=0.2967032967032967
auc=0.6923976608187135, acc=0.6502463054187192, sens=0.8611111111111112, spec=0.4105263157894737
auc=0.7504376580431824, acc=0.6650246305418719, sens=0.9056603773584906, spec=0.4020618556701031
auc=0.7183291040406011, acc=0.6551724137931034, sens=0.7872340425531915, spec=0.5412844036697247
auc=0.7526223776223775, acc=0.6502463054187192, sens=0.41414141414141414, spec=0.875
auc=0.7811771561771561, acc=0.7192118226600985, sens=0.8173076923076923, spec=0.6161616161616161
auc=0.6791480256759386, acc=0.6206896551724138, sens=0.660377358490566, spec=0.5773195876288659
auc=0.7205710955710956, acc=0.6699507389162561, sens=0.7596153846153846, spec=0.5757575757575758
auc=0.696969696969697, acc=0.6206896551724138, sens=0.38461538461538464, spec=0.8686868686868687
auc=0.7813241106719367, acc=0.6896551724137931, sens=0.6347826086956522, spec=0.7613636363636364


[MLP-Node]
auc=0.6665031397174255, acc=0.6206896551724138, sens=0.8035714285714286, spec=0.3956043956043956
auc=0.7112085769980506, acc=0.6847290640394089, sens=0.7407407407407407, spec=0.6210526315789474
auc=0.7596771056214745, acc=0.6945812807881774, sens=0.7735849056603774, spec=0.6082474226804123
auc=0.7364825297677142, acc=0.6600985221674877, sens=0.7978723404255319, spec=0.5412844036697247
auc=0.7756410256410257, acc=0.6995073891625616, sens=0.6868686868686869, spec=0.7115384615384616
auc=0.8006021756021756, acc=0.7339901477832512, sens=0.8461538461538461, spec=0.6161616161616161
auc=0.6949037152304999, acc=0.645320197044335, sens=0.7735849056603774, spec=0.5051546391752577
auc=0.7331973581973581, acc=0.6403940886699507, sens=0.7980769230769231, spec=0.47474747474747475
auc=0.7046425796425797, acc=0.6354679802955665, sens=0.49038461538461536, spec=0.7878787878787878
auc=0.7883399209486167, acc=0.6847290640394089, sens=0.5739130434782609, spec=0.8295454545454546


[CPM-POS]
auc=0.5702511773940346, acc=0.5320197044334976, sens=0.5089285714285714, spec=0.5604395604395604
auc=0.5447368421052632, acc=0.5172413793103449, sens=0.4722222222222222, spec=0.5684210526315789
auc=0.6622252480062244, acc=0.6206896551724138, sens=0.5943396226415094, spec=0.6494845360824743
auc=0.6188756587936756, acc=0.5763546798029556, sens=0.6382978723404256, spec=0.5229357798165137
auc=0.5972222222222222, acc=0.5467980295566502, sens=0.5555555555555556, spec=0.5384615384615384
auc=0.6685120435120435, acc=0.6305418719211823, sens=0.6538461538461539, spec=0.6060606060606061
auc=0.5645788757051158, acc=0.5615763546798029, sens=0.5566037735849056, spec=0.5670103092783505
auc=0.6475330225330225, acc=0.6108374384236454, sens=0.5865384615384616, spec=0.6363636363636364
auc=0.5275835275835277, acc=0.5123152709359606, sens=0.5096153846153846, spec=0.5151515151515151
auc=0.6554347826086957, acc=0.6206896551724138, sens=0.6173913043478261, spec=0.625


[CPM-NEG]
auc=0.5547488226059655, acc=0.5172413793103449, sens=0.5178571428571429, spec=0.5164835164835165
auc=0.6153021442495127, acc=0.6108374384236454, sens=0.6388888888888888, spec=0.5789473684210527
