[BrainGB]
avg_mse=23.0356 +-  2.5752, avg_mae=3.9924 +-  0.2056, avg_corr=0.2023 +-  0.0450
avg_mse=23.5460 +-  2.8056, avg_mae=3.9965 +-  0.2382, avg_corr=0.1860 +-  0.0612
avg_mse=24.6796 +-  3.7358, avg_mae=4.0889 +-  0.3185, avg_corr=0.1543 +-  0.0447
avg_mse=24.3573 +-  2.8430, avg_mae=4.0956 +-  0.2460, avg_corr=0.1520 +-  0.0357
avg_mse=23.8363 +-  2.5015, avg_mae=4.0339 +-  0.2368, avg_corr=0.1551 +-  0.0369
avg_mse=23.6125 +-  2.3366, avg_mae=4.0554 +-  0.2247, avg_corr=0.1430 +-  0.0553
avg_mse=23.5368 +-  2.3902, avg_mae=4.0439 +-  0.2041, avg_corr=0.1427 +-  0.0499
avg_mse=23.2710 +-  2.5968, avg_mae=4.0106 +-  0.1956, avg_corr=0.1694 +-  0.0474
avg_mse=23.5690 +-  2.4835, avg_mae=3.9867 +-  0.2148, avg_corr=0.1591 +-  0.0502
avg_mse=22.7910 +-  1.8051, avg_mae=3.9628 +-  0.2072, avg_corr=0.1731 +-  0.0494


[BrainGNN]
avg_mse=24.6024 +-  2.2448, avg_mae=4.1395 +-  0.2099, avg_corr=0.1135 +-  0.0712
avg_mse=25.1391 +-  2.2134, avg_mae=4.1420 +-  0.1891, avg_corr=0.1107 +-  0.0614
avg_mse=25.1229 +-  2.0968, avg_mae=4.1453 +-  0.1876, avg_corr=0.0939 +-  0.0453
avg_mse=25.2370 +-  2.3389, avg_mae=4.1546 +-  0.2416, avg_corr=0.0703 +-  0.0834
avg_mse=24.8754 +-  2.3190, avg_mae=4.1503 +-  0.2182, avg_corr=0.0566 +-  0.0685
avg_mse=25.1963 +-  2.4818, avg_mae=4.1765 +-  0.2380, avg_corr=0.0843 +-  0.0826
avg_mse=24.4766 +-  2.0090, avg_mae=4.1001 +-  0.1964, avg_corr=0.0747 +-  0.0725
avg_mse=24.1133 +-  2.1845, avg_mae=4.0950 +-  0.2146, avg_corr=0.0902 +-  0.0636
avg_mse=24.3379 +-  1.6883, avg_mae=4.0479 +-  0.1974, avg_corr=0.0910 +-  0.0643
avg_mse=23.5819 +-  1.9849, avg_mae=4.0225 +-  0.2122, avg_corr=0.1127 +-  0.0941



[GCN]
avg_mse=21.6190 +-  1.6840, avg_mae=3.8932 +-  0.2020, avg_corr=0.2331 +-  0.0490
avg_mse=22.1665 +-  1.8322, avg_mae=3.9398 +-  0.1941, avg_corr=0.2051 +-  0.0520
avg_mse=22.3101 +-  1.8201, avg_mae=3.9544 +-  0.2047, avg_corr=0.1966 +-  0.0440
avg_mse=22.5741 +-  1.9475, avg_mae=3.9763 +-  0.2200, avg_corr=0.1843 +-  0.0517
avg_mse=22.9188 +-  1.9792, avg_mae=4.0050 +-  0.2261, avg_corr=0.1648 +-  0.0471
avg_mse=22.9921 +-  2.0722, avg_mae=4.0149 +-  0.2335, avg_corr=0.1695 +-  0.0470
avg_mse=23.0504 +-  2.1005, avg_mae=4.0192 +-  0.2403, avg_corr=0.1651 +-  0.0473
avg_mse=23.2775 +-  2.1720, avg_mae=4.0318 +-  0.2449, avg_corr=0.1462 +-  0.0475
avg_mse=23.6074 +-  2.0458, avg_mae=4.0598 +-  0.2399, avg_corr=0.1268 +-  0.0387
avg_mse=23.6721 +-  2.0562, avg_mae=4.0687 +-  0.2407, avg_corr=0.1210 +-  0.0384


[GAT]
avg_mse=22.4655 +-  1.4521, avg_mae=3.9575 +-  0.1439, avg_corr=0.1948 +-  0.0572
avg_mse=23.1960 +-  1.4447, avg_mae=4.0206 +-  0.1377, avg_corr=0.1566 +-  0.0608
avg_mse=23.0018 +-  1.5727, avg_mae=3.9860 +-  0.1430, avg_corr=0.1803 +-  0.0353
avg_mse=23.2850 +-  1.5211, avg_mae=4.0300 +-  0.1550, avg_corr=0.1536 +-  0.0506
avg_mse=23.7731 +-  1.9611, avg_mae=4.0424 +-  0.1548, avg_corr=0.1368 +-  0.0464
avg_mse=23.9297 +-  1.9973, avg_mae=4.0731 +-  0.1788, avg_corr=0.1224 +-  0.0402
avg_mse=23.7748 +-  1.7732, avg_mae=4.0658 +-  0.1656, avg_corr=0.1221 +-  0.0472
avg_mse=24.3772 +-  2.4823, avg_mae=4.1250 +-  0.2128, avg_corr=0.1013 +-  0.0407
avg_mse=24.3521 +-  2.5334, avg_mae=4.1341 +-  0.2104, avg_corr=0.0935 +-  0.0506
avg_mse=23.8415 +-  1.8894, avg_mae=4.0895 +-  0.1932, avg_corr=0.0961 +-  0.0538



[GIN]
avg_mse=22.3593 +-  2.1712, avg_mae=3.9741 +-  0.1932, avg_corr=0.2143 +-  0.0453
avg_mse=23.8277 +-  2.5281, avg_mae=4.0135 +-  0.2225, avg_corr=0.1908 +-  0.0530
avg_mse=25.0096 +-  1.9416, avg_mae=4.0890 +-  0.2161, avg_corr=0.1577 +-  0.0508
avg_mse=25.2534 +-  2.2762, avg_mae=4.1383 +-  0.2253, avg_corr=0.1535 +-  0.0762
avg_mse=25.9148 +-  2.7559, avg_mae=4.1792 +-  0.2346, avg_corr=0.1503 +-  0.0706
avg_mse=26.3409 +-  2.3217, avg_mae=4.2063 +-  0.2371, avg_corr=0.1550 +-  0.0521
avg_mse=27.0495 +-  2.3481, avg_mae=4.2784 +-  0.2480, avg_corr=0.1094 +-  0.0629
avg_mse=29.2525 +-  3.1820, avg_mae=4.4324 +-  0.2915, avg_corr=0.0567 +-  0.0691
avg_mse=30.9725 +-  3.7802, avg_mae=4.5362 +-  0.3281, avg_corr=0.0795 +-  0.0797
avg_mse=33.9698 +-  2.0211, avg_mae=4.7885 +-  0.2195, avg_corr=0.0428 +-  0.0671


[GraphSage]
avg_mse=22.5691 +-  2.0085, avg_mae=3.9655 +-  0.2142, avg_corr=0.1691 +-  0.0504
avg_mse=23.1153 +-  2.5169, avg_mae=4.0221 +-  0.2383, avg_corr=0.1538 +-  0.0582
avg_mse=22.9184 +-  2.2900, avg_mae=3.9921 +-  0.2485, avg_corr=0.1467 +-  0.0589
avg_mse=22.7639 +-  1.7644, avg_mae=3.9855 +-  0.2120, avg_corr=0.1414 +-  0.0646
avg_mse=22.8708 +-  1.7436, avg_mae=3.9964 +-  0.2052, avg_corr=0.1291 +-  0.0558
avg_mse=23.2202 +-  2.3299, avg_mae=4.0242 +-  0.2579, avg_corr=0.1189 +-  0.0531
avg_mse=23.1751 +-  2.0455, avg_mae=4.0309 +-  0.2226, avg_corr=0.0897 +-  0.0716
avg_mse=23.0045 +-  2.0035, avg_mae=4.0283 +-  0.2284, avg_corr=0.0870 +-  0.0769
avg_mse=23.1714 +-  1.9841, avg_mae=4.0210 +-  0.2225, avg_corr=0.0881 +-  0.0707
avg_mse=23.0643 +-  2.0392, avg_mae=4.0315 +-  0.2157, avg_corr=0.0905 +-  0.0709


[NeuroGraph]
avg_mse=31.2174 +-  1.9086, avg_mae=4.7256 +-  0.1825, avg_corr=0.2255 +-  0.0650
avg_mse=31.8083 +-  3.1752, avg_mae=4.7552 +-  0.2948, avg_corr=0.2142 +-  0.0609
avg_mse=30.9053 +-  2.5824, avg_mae=4.6453 +-  0.2486, avg_corr=0.2333 +-  0.0576
avg_mse=31.4640 +-  2.6919, avg_mae=4.7171 +-  0.2567, avg_corr=0.2326 +-  0.0613
avg_mse=30.8582 +-  3.4826, avg_mae=4.6522 +-  0.2809, avg_corr=0.2285 +-  0.0677
avg_mse=31.1594 +-  3.1374, avg_mae=4.6727 +-  0.2879, avg_corr=0.2209 +-  0.0645
avg_mse=31.1406 +-  2.8709, avg_mae=4.7024 +-  0.2180, avg_corr=0.2217 +-  0.0688
avg_mse=31.1670 +-  3.1422, avg_mae=4.6511 +-  0.2735, avg_corr=0.2214 +-  0.0635
avg_mse=30.8047 +-  2.5640, avg_mae=4.6592 +-  0.2681, avg_corr=0.2281 +-  0.0638
avg_mse=31.1425 +-  3.5950, avg_mae=4.6685 +-  0.3088, avg_corr=0.2108 +-  0.0813



[BrainNetTF]
avg_mse=22.2595 +-  1.7873, avg_mae=3.9404 +-  0.1734, avg_corr=0.2151 +-  0.0673
avg_mse=21.9196 +-  1.9093, avg_mae=3.8803 +-  0.1934, avg_corr=0.2335 +-  0.0568
avg_mse=21.9782 +-  1.2124, avg_mae=3.8881 +-  0.1335, avg_corr=0.2206 +-  0.0654
avg_mse=22.1546 +-  1.5400, avg_mae=3.9249 +-  0.1685, avg_corr=0.2153 +-  0.0782
avg_mse=22.0687 +-  1.7904, avg_mae=3.8901 +-  0.1836, avg_corr=0.2294 +-  0.0489
avg_mse=21.8468 +-  1.4319, avg_mae=3.8693 +-  0.1321, avg_corr=0.2408 +-  0.0612
avg_mse=22.0849 +-  1.6736, avg_mae=3.8814 +-  0.1435, avg_corr=0.2401 +-  0.0687
avg_mse=21.9468 +-  1.6820, avg_mae=3.8844 +-  0.1449, avg_corr=0.2425 +-  0.0689
avg_mse=21.8766 +-  1.5465, avg_mae=3.8772 +-  0.1428, avg_corr=0.2385 +-  0.0848
avg_mse=21.6738 +-  1.3654, avg_mae=3.8817 +-  0.1523, avg_corr=0.2502 +-  0.0734


[woNeuroGraph]
avg_mse=24.0516 +-  1.9670, avg_mae=4.0945 +-  0.2341, avg_corr=0.1118 +-  0.0778
avg_mse=23.7738 +-  1.7388, avg_mae=4.0367 +-  0.2376, avg_corr=0.0514 +-  0.0690
avg_mse=24.3059 +-  1.7608, avg_mae=4.1563 +-  0.1742, avg_corr=0.0408 +-  0.0566
avg_mse=23.3547 +-  1.8192, avg_mae=4.0434 +-  0.1880, avg_corr=0.0622 +-  0.0610
avg_mse=24.2286 +-  2.5570, avg_mae=4.1706 +-  0.2507, avg_corr=0.0286 +-  0.0822
avg_mse=24.1288 +-  2.1972, avg_mae=4.1327 +-  0.2286, avg_corr=0.0335 +-  0.0747
avg_mse=23.5431 +-  2.0688, avg_mae=4.0506 +-  0.2271, avg_corr=0.0376 +-  0.0839
avg_mse=24.0554 +-  1.4618, avg_mae=4.1524 +-  0.1791, avg_corr=0.0099 +-  0.0692
avg_mse=24.2049 +-  2.5393, avg_mae=4.1372 +-  0.2782, avg_corr=0.0123 +-  0.0888
avg_mse=23.6868 +-  1.5230, avg_mae=4.1055 +-  0.1482, avg_corr=0.0199 +-  0.0743


[woBrainNetTF]
avg_mse=22.6651 +-  1.8607, avg_mae=3.9124 +-  0.2139, avg_corr=0.1918 +-  0.0625
avg_mse=22.5274 +-  1.7808, avg_mae=3.9143 +-  0.2137, avg_corr=0.1749 +-  0.0997
avg_mse=22.9486 +-  1.9835, avg_mae=3.9869 +-  0.2350, avg_corr=0.1099 +-  0.0699
avg_mse=22.9518 +-  2.5125, avg_mae=3.9922 +-  0.2397, avg_corr=0.0751 +-  0.0910
avg_mse=23.4639 +-  1.9790, avg_mae=4.0052 +-  0.1871, avg_corr=0.0706 +-  0.0911
avg_mse=23.6580 +-  2.4084, avg_mae=4.0301 +-  0.2021, avg_corr=0.0893 +-  0.0795
avg_mse=24.1835 +-  3.5843, avg_mae=4.0624 +-  0.2726, avg_corr=0.0532 +-  0.0791
avg_mse=24.9231 +-  4.8442, avg_mae=4.1050 +-  0.3368, avg_corr=0.0395 +-  0.0448
avg_mse=23.2804 +-  2.5669, avg_mae=4.0309 +-  0.2272, avg_corr=0.0658 +-  0.0799
avg_mse=23.2924 +-  2.4405, avg_mae=4.0135 +-  0.2257, avg_corr=0.0373 +-  0.0715


