[GCN]
mse=22.172983876339675, mae=3.921614864756008, corr=0.0987414021928367
mse=25.015178912787267, mae=4.338873345234672, corr=0.1385979087066307
mse=20.064149130419427, mae=3.772163032880289, corr=0.2535495211460317
mse=24.240387814904228, mae=3.9718245152894616, corr=0.18795311097158046
mse=19.721572324104116, mae=3.759679934700128, corr=0.19272743871149603
mse=23.35846639526677, mae=3.989861861098236, corr=0.25464326869312215
mse=24.227435223342198, mae=4.220028131746399, corr=0.24665861512256995
mse=21.61551139560448, mae=3.929990448927516, corr=0.2069327865713994
mse=20.500053928588247, mae=3.7373213259701803, corr=0.2710920545105408
mse=20.749571049879044, mae=3.7568607572371584, corr=0.2005829860197252


[GAT]
mse=23.772896481044402, mae=4.108604140693161, corr=0.07842651567825495
mse=23.59172354373835, mae=4.194026637198356, corr=0.2376245431258512
mse=22.83691671051955, mae=3.991337146855853, corr=0.04580525412506313
mse=23.998054785171743, mae=3.9792796730390054, corr=0.16384380340590393
mse=21.3380196953788, mae=3.852430629246126, corr=0.10231120397326435
mse=25.0900717217305, mae=4.044416892346997, corr=0.18197596687285134
mse=25.621279914972142, mae=4.262010429111229, corr=0.21923514345044742
mse=22.941024954548947, mae=4.07451008056021, corr=0.1551196437037555
mse=21.203857189507655, mae=3.83062364607293, corr=0.2229107837942335
mse=21.566327980932247, mae=3.8687662134315763, corr=0.15837790521898348


[GIN]
mse=22.29225983595485, mae=3.7878180808827357, corr=0.21866126623560872
mse=24.712468529715757, mae=4.310236161130334, corr=0.20869388835131303
mse=21.2773536643401, mae=3.7739615174114403, corr=0.22440449378419214
mse=24.7091445051474, mae=3.9354112063567652, corr=0.17911828403215913
mse=20.16824946911807, mae=3.737591225483696, corr=0.30082520124044526
mse=25.80629310026992, mae=4.162005986053932, corr=0.1286234297128074
mse=29.293764124061855, mae=4.408641234267182, corr=0.10859293170200708
mse=25.223446453888403, mae=4.1281957190654, corr=0.1381200751244694
mse=22.758537728169244, mae=4.035290698714668, corr=0.1957329993092873
mse=22.035129055759022, mae=3.8559392987168986, corr=0.20487884138058796


[GraphSage]
mse=22.05684417879521, mae=3.9744537421289436, corr=0.0828271098280726
mse=24.869005348476662, mae=4.350095623035721, corr=0.11881106920612494
mse=20.651498203955327, mae=3.809601115696321, corr=0.20641456754264387
mse=26.161103844037516, mae=4.147466756365626, corr=0.14372193539753683
mse=20.553600635625383, mae=3.9127978068317857, corr=0.09511682085340528
mse=24.78889658003289, mae=4.061816961027039, corr=0.17667527926794774
mse=27.94098957177951, mae=4.468463374878549, corr=0.18369990222610058
mse=22.514645600681984, mae=4.0558613714227825, corr=0.0846982239400641
mse=20.539005850777407, mae=3.6960099021795436, corr=0.2756139429759356
mse=21.076922511086245, mae=3.744526228928929, corr=0.1709027318938609


[BrainGB]
mse=23.219959084757694, mae=4.049736749097176, corr=0.17048620169257156
mse=24.39563392987711, mae=4.232804462994416, corr=0.1914471129436734
mse=21.513416086961776, mae=3.762492751106998, corr=0.16378990352641143
mse=23.46556022566587, mae=4.005314860852237, corr=0.2278154074997603
mse=20.802199203955947, mae=3.74042227788625, corr=0.15331032971096759
mse=23.033444477216847, mae=4.010849594464762, corr=0.23329430535055753
mse=26.951414069548477, mae=4.366419879313048, corr=0.0755499819911661
mse=22.44476552663116, mae=3.9632139302752343, corr=0.15461667899217763
mse=20.74710174502455, mae=3.7406738058564626, corr=0.2397020177755731
mse=21.336308745563333, mae=3.756083890266225, corr=0.1214048892718607


[BrainGNN]
mse=26.649296731513164, mae=4.354531530196292, corr=0.0770557864159798
mse=25.961220736430985, mae=4.317942464412166, corr=0.05869231458753912
mse=24.401904362712415, mae=4.155852593746282, corr=0.05485323091660521
mse=26.78594811918772, mae=4.186226723762938, corr=0.0748495979524137
mse=21.477381865990342, mae=3.8313028074158026, corr=0.168938369842261
mse=26.952023036588873, mae=4.350892381619681, corr=0.03351683904569458
mse=28.15830568129641, mae=4.296293491034338, corr=0.17124372384331832
mse=25.384290821056076, mae=4.120067577071602, corr=0.06633343292803394
mse=23.09774592443166, mae=3.992934764339234, corr=0.11190966429244945
mse=22.360630141902092, mae=3.8471362118793624, corr=0.12132355499270502



[NeuroGraph]
mse=28.6733016774134, mae=4.349687295516736, corr=0.3237731780903804
mse=30.238900896256347, mae=4.671826285154081, corr=0.19441323702830401
mse=37.03175630908327, mae=5.283557674001316, corr=0.23571828472525858
mse=30.94308888004516, mae=4.686882769395857, corr=0.1455319615122502
mse=25.842185528750345, mae=4.306524390496579, corr=0.31327391252871617
mse=31.299661123207983, mae=4.921824939359868, corr=0.21424878021542146
mse=36.05023050066178, mae=5.150782691645743, corr=0.18667205914235693
mse=32.50105436683306, mae=4.601965198662075, corr=0.15617820293181991
mse=31.270529132204008, mae=4.823164414633349, corr=0.23114740532960346
mse=34.23252990645201, mae=4.756184355256521, corr=0.14138685661150524



[BrainNetTF]
mse=20.867614847754464, mae=3.888066751702788, corr=0.24548025189795816
mse=23.159468152196276, mae=4.119142348391151, corr=0.29219185618875076
mse=20.066433010972695, mae=3.675951052438184, corr=0.27832131962342216
mse=22.60185814872006, mae=3.8611184715619546, corr=0.210590759045679
mse=19.07866501203043, mae=3.70012617837354, corr=0.2656049014029144
