[BrainGB]
avg_auc=0.7542 +-  0.0358, avg_acc=0.6559 +-  0.0893, avg_sens=0.5500 +-  0.1970, avg_specs=0.7362 +-  0.2569
avg_auc=0.7209 +-  0.0388, avg_acc=0.6627 +-  0.0395, avg_sens=0.5682 +-  0.1066, avg_specs=0.7345 +-  0.0695
avg_auc=0.7036 +-  0.0336, avg_acc=0.6529 +-  0.0526, avg_sens=0.4705 +-  0.1931, avg_specs=0.7914 +-  0.1181
avg_auc=0.7210 +-  0.0258, avg_acc=0.6618 +-  0.0192, avg_sens=0.5114 +-  0.0944, avg_specs=0.7759 +-  0.0672
avg_auc=0.7301 +-  0.0414, avg_acc=0.6637 +-  0.0498, avg_sens=0.4977 +-  0.1744, avg_specs=0.7897 +-  0.0899
avg_auc=0.7392 +-  0.0278, avg_acc=0.6745 +-  0.0379, avg_sens=0.5159 +-  0.0937, avg_specs=0.7948 +-  0.0749
avg_auc=0.7255 +-  0.0408, avg_acc=0.6745 +-  0.0411, avg_sens=0.4955 +-  0.1641, avg_specs=0.8103 +-  0.0909
avg_auc=0.7471 +-  0.0299, avg_acc=0.6843 +-  0.0425, avg_sens=0.5636 +-  0.0963, avg_specs=0.7759 +-  0.0783
avg_auc=0.7658 +-  0.0309, avg_acc=0.6814 +-  0.0405, avg_sens=0.4773 +-  0.1181, avg_specs=0.8362 +-  0.0780
avg_auc=0.7667 +-  0.0240, avg_acc=0.6931 +-  0.0370, avg_sens=0.5273 +-  0.1359, avg_specs=0.8190 +-  0.0929


[BrainGNN]
avg_auc=0.7248 +-  0.0509, avg_acc=0.6520 +-  0.0577, avg_sens=0.4545 +-  0.2085, avg_specs=0.8017 +-  0.1237
avg_auc=0.6865 +-  0.0725, avg_acc=0.6206 +-  0.0671, avg_sens=0.5682 +-  0.1950, avg_specs=0.6603 +-  0.1932
avg_auc=0.7055 +-  0.0453, avg_acc=0.6441 +-  0.0443, avg_sens=0.6205 +-  0.1027, avg_specs=0.6621 +-  0.0852
avg_auc=0.7052 +-  0.0669, avg_acc=0.6500 +-  0.0612, avg_sens=0.5364 +-  0.1160, avg_specs=0.7362 +-  0.0823
avg_auc=0.7213 +-  0.0561, avg_acc=0.6618 +-  0.0562, avg_sens=0.6273 +-  0.1278, avg_specs=0.6879 +-  0.1181
