[GCN]
auc=0.7398119122257053, acc=0.6372549019607843, sens=0.8181818181818182, spec=0.5
auc=0.8123040752351096, acc=0.7549019607843137, sens=0.5681818181818182, spec=0.896551724137931
auc=0.7981974921630094, acc=0.7352941176470589, sens=0.6590909090909091, spec=0.7931034482758621
auc=0.7656739811912227, acc=0.696078431372549, sens=0.5909090909090909, spec=0.7758620689655172
auc=0.7688087774294671, acc=0.696078431372549, sens=0.4772727272727273, spec=0.8620689655172413
auc=0.706896551724138, acc=0.6274509803921569, sens=0.8863636363636364, spec=0.43103448275862066
auc=0.8718652037617556, acc=0.7549019607843137, sens=0.5, spec=0.9482758620689655
auc=0.7503918495297806, acc=0.6470588235294118, sens=0.5909090909090909, spec=0.6896551724137931
auc=0.7648902821316614, acc=0.6862745098039216, sens=0.5, spec=0.8275862068965517
auc=0.6982758620689655, acc=0.5784313725490197, sens=0.5454545454545454, spec=0.603448275862069


[GAT]
auc=0.7688087774294671, acc=0.7058823529411765, sens=0.5909090909090909, spec=0.7931034482758621
auc=0.7825235109717869, acc=0.6666666666666666, sens=0.5681818181818182, spec=0.7413793103448276
auc=0.7543103448275863, acc=0.6470588235294118, sens=0.45454545454545453, spec=0.7931034482758621
auc=0.7754702194357366, acc=0.7352941176470589, sens=0.6363636363636364, spec=0.8103448275862069
auc=0.7437304075235109, acc=0.6568627450980392, sens=0.4772727272727273, spec=0.7931034482758621
auc=0.7860501567398118, acc=0.7058823529411765, sens=0.5454545454545454, spec=0.8275862068965517
auc=0.8432601880877743, acc=0.7549019607843137, sens=0.6818181818181818, spec=0.8103448275862069
auc=0.7813479623824452, acc=0.7156862745098039, sens=0.5681818181818182, spec=0.8275862068965517
auc=0.7644984326018809, acc=0.6764705882352942, sens=0.4318181818181818, spec=0.8620689655172413
auc=0.692398119122257, acc=0.6274509803921569, sens=0.5227272727272727, spec=0.7068965517241379


[GIN]
auc=0.665360501567398, acc=0.6372549019607843, sens=0.5, spec=0.7413793103448276
auc=0.6481191222570534, acc=0.6176470588235294, sens=0.5227272727272727, spec=0.6896551724137931
auc=0.5246865203761755, acc=0.5294117647058824, sens=0.36363636363636365, spec=0.6551724137931034
auc=0.6163793103448275, acc=0.6176470588235294, sens=0.5909090909090909, spec=0.6379310344827587
auc=0.646551724137931, acc=0.6078431372549019, sens=0.20454545454545456, spec=0.9137931034482759
auc=0.6790752351097178, acc=0.6274509803921569, sens=0.5681818181818182, spec=0.6724137931034483
auc=0.7509796238244515, acc=0.6372549019607843, sens=0.5681818181818182, spec=0.6896551724137931
auc=0.6769200626959248, acc=0.6372549019607843, sens=0.5909090909090909, spec=0.6724137931034483
auc=0.6199059561128526, acc=0.5784313725490197, sens=0.4318181818181818, spec=0.6896551724137931
auc=0.6106974921630094, acc=0.5980392156862745, sens=0.4318181818181818, spec=0.7241379310344828


[GraphSage]
auc=0.7492163009404389, acc=0.6862745098039216, sens=0.6818181818181818, spec=0.6896551724137931
auc=0.7366771159874609, acc=0.6176470588235294, sens=0.18181818181818182, spec=0.9482758620689655
auc=0.7860501567398119, acc=0.696078431372549, sens=0.8863636363636364, spec=0.5517241379310345
auc=0.762539184952978, acc=0.6470588235294118, sens=0.36363636363636365, spec=0.8620689655172413
auc=0.7809561128526645, acc=0.7352941176470589, sens=0.5681818181818182, spec=0.8620689655172413
auc=0.7527429467084639, acc=0.6274509803921569, sens=0.9772727272727273, spec=0.3620689655172414
auc=0.8377742946708465, acc=0.7549019607843137, sens=0.7727272727272727, spec=0.7413793103448276
auc=0.7135579937304075, acc=0.6666666666666666, sens=0.5681818181818182, spec=0.7413793103448276
auc=0.7108150470219435, acc=0.6764705882352942, sens=0.5681818181818182, spec=0.7586206896551724
auc=0.7421630094043887, acc=0.6568627450980392, sens=0.5454545454545454, spec=0.7413793103448276


[BrainGB]
auc=0.7464733542319749, acc=0.6862745098039216, sens=0.45454545454545453, spec=0.8620689655172413
auc=0.752742946708464, acc=0.6862745098039216, sens=0.45454545454545453, spec=0.8620689655172413
auc=0.7915360501567399, acc=0.7450980392156863, sens=0.7272727272727273, spec=0.7586206896551724
auc=0.7821316614420062, acc=0.6666666666666666, sens=0.3409090909090909, spec=0.9137931034482759
auc=0.7735109717868339, acc=0.7156862745098039, sens=0.5, spec=0.8793103448275862
auc=0.7731191222570534, acc=0.6862745098039216, sens=0.3409090909090909, spec=0.9482758620689655
auc=0.7852664576802508, acc=0.7156862745098039, sens=0.5681818181818182, spec=0.8275862068965517
auc=0.7993730407523512, acc=0.6862745098039216, sens=0.75, spec=0.6379310344827587
auc=0.7449059561128526, acc=0.7352941176470589, sens=0.6363636363636364, spec=0.8103448275862069
auc=0.7182601880877744, acc=0.6078431372549019, sens=0.5, spec=0.6896551724137931


[BrainGNN]
auc=0.7405956112852664, acc=0.7058823529411765, sens=0.6818181818181818, spec=0.7241379310344828
auc=0.6700626959247649, acc=0.6274509803921569, sens=0.6363636363636364, spec=0.6206896551724138
auc=0.7621473354231976, acc=0.6666666666666666, sens=0.5, spec=0.7931034482758621
auc=0.7464733542319749, acc=0.6764705882352942, sens=0.6590909090909091, spec=0.6896551724137931
auc=0.7033699059561129, acc=0.6176470588235294, sens=0.6818181818181818, spec=0.5689655172413793
auc=0.7327586206896552, acc=0.6568627450980392, sens=0.7045454545454546, spec=0.6206896551724138
auc=0.7213949843260188, acc=0.6862745098039216, sens=0.7272727272727273, spec=0.6551724137931034
auc=0.6900470219435736, acc=0.6568627450980392, sens=0.4772727272727273, spec=0.7931034482758621
auc=0.6904388714733543, acc=0.5980392156862745, sens=0.7045454545454546, spec=0.5172413793103449
auc=0.5975705329153606, acc=0.5490196078431373, sens=0.4318181818181818, spec=0.6379310344827587



[NeuroGraph]
auc=0.802115987460815, acc=0.7254901960784313, sens=0.6590909090909091, spec=0.7758620689655172
auc=0.8240595611285266, acc=0.7254901960784313, sens=0.7727272727272727, spec=0.6896551724137931
auc=0.8593260188087775, acc=0.8137254901960784, sens=0.9090909090909091, spec=0.7413793103448276
auc=0.8577586206896551, acc=0.7647058823529411, sens=0.5454545454545454, spec=0.9310344827586207
auc=0.8158307210031347, acc=0.7254901960784313, sens=0.7272727272727273, spec=0.7241379310344828
auc=0.7617554858934169, acc=0.6568627450980392, sens=0.5909090909090909, spec=0.7068965517241379
auc=0.9086990595611286, acc=0.7450980392156863, sens=0.45454545454545453, spec=0.9655172413793104
auc=0.8060344827586207, acc=0.7254901960784313, sens=0.5227272727272727, spec=0.8793103448275862
auc=0.7801724137931035, acc=0.7156862745098039, sens=0.5681818181818182, spec=0.8275862068965517
auc=0.7159090909090909, acc=0.6372549019607843, sens=0.3181818181818182, spec=0.8793103448275862


[BrainNetTF]
auc=0.844435736677116, acc=0.7843137254901961, sens=0.7045454545454546, spec=0.8448275862068966
auc=0.8608934169278997, acc=0.7647058823529411, sens=0.6818181818181818, spec=0.8275862068965517
